task_id,track,split,system,agent,agent_version,model,provider,attempt_id,score,raw_score,score_delta,pass,valid_difficulty_attempt,valid_model_pass1_evidence,formal_gate_member,evidence_scope,difficulty_exclusion,outcome_attribution,failure_codes,duration_seconds,input_tokens,cache_tokens,output_tokens,cost_usd,exception
P15-A-FIN-DCF-001,A,DEV,codex_gpt56sol,codex,0.151.0,gpt-5.6-sol,openai,b60c6ea3-fd97-4ab8-89ee-7101e0312bc4,1.000000,,,true,true,true,true,FROZEN_CODEX_DEV_N4,,PASS,,867.388,757825,696064,15814,0.841750,
P15-A-FIN-DCF-001,A,DEV,codex_gpt56sol,codex,0.151.0,gpt-5.6-sol,openai,0a6307b8-8c9e-4290-954f-938ebd76947a,1.000000,,,true,true,true,true,FROZEN_CODEX_DEV_N4,,PASS,,846.512,585302,538880,7926,0.559760,
P15-A-FIN-DCF-001,A,DEV,codex_gpt56sol,codex,0.151.0,gpt-5.6-sol,openai,3ca5c862-12cb-4de0-8c59-55c39c7328b9,1.000000,,,true,true,true,true,FROZEN_CODEX_DEV_N4,,PASS,,650.337,1660587,1467648,18616,1.731135,
P15-A-FIN-DCF-001,A,DEV,codex_gpt56sol,codex,0.151.0,gpt-5.6-sol,openai,68762386-18c6-4a1d-a834-b3d2e9f56f39,1.000000,,,true,true,true,true,FROZEN_CODEX_DEV_N4,,PASS,,543.579,345095,295424,9736,0.511574,
P15-A-FIN-DEBUG-001,A,DEV,codex_gpt56sol,codex,0.151.0,gpt-5.6-sol,openai,265ee1b5-3f69-4afa-bbdb-d5e6239824e7,1.000000,,,true,true,true,true,FROZEN_CODEX_DEV_N4,,PASS,,244.547,459479,426752,5750,0.416609,
P15-A-FIN-DEBUG-001,A,DEV,codex_gpt56sol,codex,0.151.0,gpt-5.6-sol,openai,303511b5-621d-4ca9-9c00-c4d4458ce7d4,1.000000,,,true,true,true,true,FROZEN_CODEX_DEV_N4,,PASS,,339.588,597829,550656,7090,0.550754,
P15-A-FIN-DEBUG-001,A,DEV,codex_gpt56sol,codex,0.151.0,gpt-5.6-sol,openai,78545ecf-a10a-4ca9-883a-873116e183d3,1.000000,,,true,true,true,true,FROZEN_CODEX_DEV_N4,,PASS,,215.785,239300,211456,2553,0.247018,
P15-A-FIN-DEBUG-001,A,DEV,codex_gpt56sol,codex,0.151.0,gpt-5.6-sol,openai,c5ac57cd-f40d-48fe-8efa-ccaf4c4f273b,1.000000,,,true,true,true,true,FROZEN_CODEX_DEV_N4,,PASS,,399.502,1589682,1503488,13003,1.206231,
P15-A-ENG-SIZING-001,A,DEV,codex_gpt56sol,codex,0.151.0,gpt-5.6-sol,openai,daf1f77d-ae6f-4101-8442-ca6fe835df85,1.000000,,,true,true,true,true,FROZEN_CODEX_DEV_N4,,PASS,,583.065,732201,665856,11999,0.771702,
P15-A-ENG-SIZING-001,A,DEV,codex_gpt56sol,codex,0.151.0,gpt-5.6-sol,openai,31052099-f0cf-4c9c-a290-a301d7f33cb1,1.000000,,,true,true,true,true,FROZEN_CODEX_DEV_N4,,PASS,,472.209,291756,252416,8048,0.419286,
P15-A-ENG-SIZING-001,A,DEV,codex_gpt56sol,codex,0.151.0,gpt-5.6-sol,openai,3d5c9f1d-0e1e-40eb-9227-133dae83bb20,1.000000,,,true,true,true,true,FROZEN_CODEX_DEV_N4,,PASS,,411.275,476425,441600,8579,0.487520,
P15-A-ENG-SIZING-001,A,DEV,codex_gpt56sol,codex,0.151.0,gpt-5.6-sol,openai,7403c800-8206-4e88-8bb2-774a5416c7cb,1.000000,,,true,true,true,true,FROZEN_CODEX_DEV_N4,,PASS,,542.551,431529,357120,9065,0.621784,
