task_id,track,professional_work,package_status,dev_validation,confirm_reference_validation,harbor_smoke,windows_excel,codex_attempts,codex_passes,claude_attempts,claude_passes,qwen_attempts,qwen_passes,development_signal,formal_difficulty,human_review,next_action
P15-A-FIN-DCF-001,A,Five-year DCF valuation,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,4,1,1,1,1,TOO_EASY,INSUFFICIENT_EVIDENCE,PENDING,Human review then professional revision or reserve activation
P15-A-FIN-DEBUG-001,A,Financial-model root-cause repair,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,4,1,1,1,1,TOO_EASY,INSUFFICIENT_EVIDENCE,PENDING,Human review then professional revision or reserve activation
P15-A-ENG-SIZING-001,A,Cooling-water pump selection,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,4,1,1,1,1,TOO_EASY,INSUFFICIENT_EVIDENCE,PENDING,Human review then professional revision or reserve activation
P15-A-STAT-EXPERIMENT-001,A,Paired experiment statistics and power planning,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,0,1,1,1,0,HARD_SIGNAL,INSUFFICIENT_EVIDENCE,PENDING,Human validity review before additional sampling
P15-A-POLICY-EIA-001,A,Electricity-policy scenario model,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,2,1,1,1,0,BORDERLINE,INSUFFICIENT_EVIDENCE,PENDING,Retain current task and review before additional sampling
P15-B-SALES-DISCOVERY-001,B,Q2 data-version selection and KPI delivery,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,2,1,0,1,0,HARD_SIGNAL,INSUFFICIENT_EVIDENCE,PENDING,Review version-selection instruction before additional sampling
P15-B-OPS-CLEAN-JOIN-001,B,Order cleaning joining and exception handling,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,0,1,0,1,0,HARD_SIGNAL,INSUFFICIENT_EVIDENCE,PENDING,Review deduplication and exception-retention boundaries
P15-B-FIN-RECON-001,B,FX ledger-to-subledger reconciliation,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,0,1,0,1,0,HARD_SIGNAL,INSUFFICIENT_EVIDENCE,PENDING,Review ambiguity and Judge boundaries before additional sampling
P15-B-PUBLIC-PIVOT-001,B,Native PivotTable and PivotChart,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_LATEST_JUDGE_SMOKE,MACOS_NATIVE_OBJECTS_VALIDATED_WINDOWS_PENDING,0,0,0,0,0,0,NOT_RUN,INSUFFICIENT_EVIDENCE,PENDING,Resume the frozen group-gateway batch and complete Windows compatibility
P15-B-HEALTH-REPORT-001,B,Traceable heart-disease mortality brief,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,1,1,1,1,0,HARD_SIGNAL,INSUFFICIENT_EVIDENCE,PENDING,Review narrative-to-metric traceability before additional sampling
P15-C-INVOICE-001,C,Multipage invoice workpaper,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,4,1,1,1,0,TOO_EASY,INSUFFICIENT_EVIDENCE,PENDING,Human review then add authentic cross-page complexity if needed
P15-C-QUOTE-001,C,Scanned quote normalization,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,1,1,1,1,0,BORDERLINE,INSUFFICIENT_EVIDENCE,PENDING,Review base-scope and alternate-item semantics
P15-C-RECEIPTS-001,C,Multi-receipt batch summary and provenance,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,0,1,0,1,0,HARD_SIGNAL,INSUFFICIENT_EVIDENCE,PENDING,Prioritize human review before additional sampling
P15-C-PO-ADDENDUM-001,C,Purchase-order addendum application,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,2,1,0,1,0,BORDERLINE,INSUFFICIENT_EVIDENCE,PENDING,Review minimum-change boundary before additional sampling
P15-C-STATEMENT-001,C,Multipage bank-statement reconciliation,LOCAL_READY,PASS_5X_STABLE,PASS,PASS_FINAL_45_TRIAL_SET,PENDING,4,2,1,0,1,0,BORDERLINE,INSUFFICIENT_EVIDENCE,PENDING,Review continuation and debit-credit semantics
