wave_id,task_id,system,valid_attempt,artifact_role,archive_member,artifact_sha256,original_judge_status,original_score,original_score_available,original_recorded_pass,audit_status,replay_score,score_delta,score_comparison,replay_pass,replay_zero,replay_scoreable,criterion_scores,failure_codes,evaluator_status,evaluator_sha256,judge_binding_manifest_sha256,error,elapsed_seconds
20260901T140617Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,claude_opus5,False,HARBOR_RAW,workbooks/20260901T140617Z-P15-A-ENG-SIZING-001-claude-code/P15-A-ENG-SIZING-001__zRMh8aT/answer.xlsx,49b6f58016f61915b43dc9cef5353247e71165ab03397b6394b2149bef3e2616,SCORED,0.0,True,False,SCORE_REPLAYED,0.583333,0.583333,CHANGED,False,False,True,"{""R001"":1.0,""R002"":1.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":1.0,""R007"":1.0,""R008"":0.0,""R009"":1.0,""R010"":1.0,""R011"":1.0,""R012"":0.0}","[""SIZING_VALUE_MISMATCH:hydraulic_power"",""SIZING_VALUE_MISMATCH:minimum_motor"",""SIZING_VALUE_MISMATCH:shaft_power"",""SIZING_VALUE_MISMATCH:tdh""]",SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1109
20260901T142154Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,claude_opus5,True,HARBOR_RAW,workbooks/20260901T142154Z-P15-A-ENG-SIZING-001-claude-code/P15-A-ENG-SIZING-001__25HhQEa/answer.xlsx,7a6957c15d24d20bbe3faf2e06db6d68a7b55b3f900b80afd4673f7372afbb18,SCORED,0.0,True,False,SCORE_REPLAYED,0.583333,0.583333,CHANGED,False,False,True,"{""R001"":1.0,""R002"":1.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":1.0,""R007"":1.0,""R008"":0.0,""R009"":1.0,""R010"":1.0,""R011"":1.0,""R012"":0.0}","[""SIZING_VALUE_MISMATCH:hydraulic_power"",""SIZING_VALUE_MISMATCH:minimum_motor"",""SIZING_VALUE_MISMATCH:shaft_power"",""SIZING_VALUE_MISMATCH:tdh""]",SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1212
20260901T144448Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,claude_opus5,False,HARBOR_RAW,workbooks/20260901T144448Z-P15-A-ENG-SIZING-001-claude-code/P15-A-ENG-SIZING-001__ECaMYeQ/answer.xlsx,ab426988297e6715e8c43f9ff19bce81432e9e78ef11853bab23cb2218f350c3,SCORED,0.0,True,False,JUDGE_UNABLE_TO_SCORE,,,UNSCOREABLE,,,False,"{""R001"":0.0,""R002"":0.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":0.0,""R007"":0.0,""R008"":0.0,""R009"":0.0,""R010"":0.0,""R011"":0.0,""R012"":0.0}","[""UNSUPPORTED_LAYOUT:A_ENG_SEMANTIC:METRIC_area_m2:missing""]",JUDGE_ERROR,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1038
20260901T150236Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,claude_opus5,True,HARBOR_RAW,workbooks/20260901T150236Z-P15-A-ENG-SIZING-001-claude-code/P15-A-ENG-SIZING-001__LKTynXF/answer.xlsx,c274359b005d32ee613ca68fbc783176d68dba319e64c3e44c890b0376df9c69,SCORED,0.0,True,False,SCORE_REPLAYED,0.458333,0.458333,CHANGED,False,False,True,"{""R001"":1.0,""R002"":1.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":0.0,""R007"":1.0,""R008"":0.0,""R009"":1.0,""R010"":1.0,""R011"":1.0,""R012"":0.0}","[""ELIGIBILITY_EVALUATION_FAILED:ValueError"",""SIZING_VALUE_MISMATCH:hydraulic_power"",""SIZING_VALUE_MISMATCH:minimum_flow"",""SIZING_VALUE_MISMATCH:minimum_motor"",""SIZING_VALUE_MISMATCH:shaft_power"",""SIZING_VALUE_MISMATCH:tdh""]",SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.109
20260901T152219Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,claude_opus5,False,HARBOR_RAW,workbooks/20260901T152219Z-P15-A-ENG-SIZING-001-claude-code/P15-A-ENG-SIZING-001__iuR2rAa/answer.xlsx,4c15e6d41b7d9893c13260fd9f50a10c8d61051dc1ac51cc08d12a7414f73b34,SCORED,0.0,True,False,SCORE_REPLAYED,0.583333,0.583333,CHANGED,False,False,True,"{""R001"":1.0,""R002"":1.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":1.0,""R007"":1.0,""R008"":0.0,""R009"":1.0,""R010"":1.0,""R011"":1.0,""R012"":0.0}","[""SIZING_VALUE_MISMATCH:hydraulic_power"",""SIZING_VALUE_MISMATCH:minimum_motor"",""SIZING_VALUE_MISMATCH:shaft_power"",""SIZING_VALUE_MISMATCH:tdh""]",SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1182
20260901T154611Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,claude_opus5,True,HARBOR_RAW,workbooks/20260901T154611Z-P15-A-ENG-SIZING-001-claude-code/P15-A-ENG-SIZING-001__JE8SeAS/answer.xlsx,c96e910d698ca081be7356f24d85e5968db3f22a73c0bf2f7c319b02979d4db1,SCORED,0.0,True,,JUDGE_UNABLE_TO_SCORE,,,UNSCOREABLE,,,False,"{""R001"":0.0,""R002"":0.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":0.0,""R007"":0.0,""R008"":0.0,""R009"":0.0,""R010"":0.0,""R011"":0.0,""R012"":0.0}","[""UNSUPPORTED_LAYOUT:A_ENG_SEMANTIC:METRIC_area_m2:missing""]",JUDGE_ERROR,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1077
20260902T203604Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,claude_opus5,True,HARBOR_RAW,workbooks/20260902T203604Z-P15-A-ENG-SIZING-001-claude-code/P15-A-ENG-SIZING-001__7r7PPLa/answer.xlsx,f2e2f4a1aab4a4d2c618bf5055f0a7ed8779faf32baeb94253cc8ed56034e9c0,SCORED,0.0,True,False,JUDGE_UNABLE_TO_SCORE,,,UNSCOREABLE,,,False,"{""R001"":0.0,""R002"":0.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":0.0,""R007"":0.0,""R008"":0.0,""R009"":0.0,""R010"":0.0,""R011"":0.0,""R012"":0.0}","[""UNSUPPORTED_LAYOUT:A_ENG_SEMANTIC:METRIC_area_m2:missing""]",JUDGE_ERROR,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1086
20260903T124428Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,claude_opus5,True,HARBOR_RAW,workbooks/20260903T124428Z-P15-A-ENG-SIZING-001-claude-code/P15-A-ENG-SIZING-001__2XXXGqH/answer.xlsx,9c63aa2e6bae383c9274863d888cacf80f006f5ca0c2d0a574edf750410af09f,SCORED,0.0,True,False,SCORE_REPLAYED,0.791667,0.791667,CHANGED,False,False,True,"{""R001"":1.0,""R002"":1.0,""R003"":1.0,""R004"":1.0,""R005"":0.0,""R006"":1.0,""R007"":1.0,""R008"":0.0,""R009"":1.0,""R010"":1.0,""R011"":1.0,""R012"":0.0}","[""SIZING_VALUE_MISMATCH:minimum_motor""]",SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1174
20260903T160121Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,claude_opus5,True,HARBOR_RAW,workbooks/20260903T160121Z-P15-A-ENG-SIZING-001-claude-code/P15-A-ENG-SIZING-001__erRSqUx/answer.xlsx,792ecbd768c2d494daed1f7a8dfaffb118cc07ffa512768a124b77787f60f9ed,SCORED,0.0,True,False,SCORE_REPLAYED,0.458333,0.458333,CHANGED,False,False,True,"{""R001"":1.0,""R002"":0.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":1.0,""R007"":1.0,""R008"":0.0,""R009"":1.0,""R010"":1.0,""R011"":1.0,""R012"":0.0}","[""SIZING_VALUE_MISMATCH:diameter_m"",""SIZING_VALUE_MISMATCH:hydraulic_power"",""SIZING_VALUE_MISMATCH:minimum_motor"",""SIZING_VALUE_MISMATCH:shaft_power"",""SIZING_VALUE_MISMATCH:tdh""]",SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1257
20260903T204414Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,claude_opus5,True,HARBOR_RAW,workbooks/20260903T204414Z-P15-A-ENG-SIZING-001-claude-code/P15-A-ENG-SIZING-001__qsALucc/answer.xlsx,7d02cdbb4d08c0e9b37cac75cd5ca49b6560d1b51035d82e7f6adc60050b33a6,SCORED,0.0,True,False,SCORE_REPLAYED,0.583333,0.583333,CHANGED,False,False,True,"{""R001"":1.0,""R002"":1.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":1.0,""R007"":1.0,""R008"":0.0,""R009"":1.0,""R010"":1.0,""R011"":1.0,""R012"":0.0}","[""SIZING_VALUE_MISMATCH:hydraulic_power"",""SIZING_VALUE_MISMATCH:minimum_motor"",""SIZING_VALUE_MISMATCH:shaft_power"",""SIZING_VALUE_MISMATCH:tdh""]",SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1401
