wave_id,task_id,system,valid_attempt,judge_status,normalized_score,infra_error,invalidation_category,audit_classification,score_without_workbook,validity_flag_error
20260901T101434Z-P15-A-STAT-EXPERIMENT-001-codex,P15-A-STAT-EXPERIMENT-001,codex_gpt56sol,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T104401Z-P15-B-FIN-RECON-001-claude-code,P15-B-FIN-RECON-001,claude_opus5,False,,,True,OPERATOR_INTERRUPT,NO_WORKBOOK_FOUND,False,False
20260901T112350Z-P15-C-STATEMENT-001-codex,P15-C-STATEMENT-001,codex_gpt56sol,False,SCORED,0.0,True,,NO_WORKBOOK_FOUND,True,False
20260901T124636Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,False,TASK_INVALID,0.0,True,,NO_WORKBOOK_FOUND,True,False
20260901T135105Z-P15-A-FIN-DCF-001-codex,P15-A-FIN-DCF-001,codex_gpt56sol,False,,,True,MONITOR_INSPECTION_RACE,NO_WORKBOOK_FOUND,False,False
20260901T135112Z-P15-A-FIN-DEBUG-001-qwen-coder,P15-A-FIN-DEBUG-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T135700Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T140237Z-P15-A-FIN-DCF-001-qwen-coder,P15-A-FIN-DCF-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T140814Z-P15-A-STAT-EXPERIMENT-001-qwen-coder,P15-A-STAT-EXPERIMENT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T141423Z-P15-A-ENG-SIZING-001-qwen-coder,P15-A-ENG-SIZING-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T141435Z-P15-B-HEALTH-REPORT-001-claude-code,P15-B-HEALTH-REPORT-001,claude_opus5,False,,,True,DOCKER_ENV_FAILURE,NO_WORKBOOK_FOUND,False,False
20260901T141442Z-P15-C-INVOICE-001-claude-code,P15-C-INVOICE-001,claude_opus5,False,,,True,DOCKER_ENV_FAILURE,NO_WORKBOOK_FOUND,False,False
20260901T141449Z-P15-B-HEALTH-REPORT-001-qwen-coder,P15-B-HEALTH-REPORT-001,qwen38max,False,,,True,DOCKER_ENV_FAILURE,NO_WORKBOOK_FOUND,False,False
20260901T141449Z-P15-C-QUOTE-001-claude-code,P15-C-QUOTE-001,claude_opus5,False,,,True,DOCKER_ENV_FAILURE,NO_WORKBOOK_FOUND,False,False
20260901T141456Z-P15-C-INVOICE-001-qwen-coder,P15-C-INVOICE-001,qwen38max,False,,,True,DOCKER_ENV_FAILURE,NO_WORKBOOK_FOUND,False,False
20260901T141458Z-P15-C-RECEIPTS-001-claude-code,P15-C-RECEIPTS-001,claude_opus5,False,,,True,DOCKER_ENV_FAILURE,NO_WORKBOOK_FOUND,False,False
20260901T141503Z-P15-C-QUOTE-001-qwen-coder,P15-C-QUOTE-001,qwen38max,False,,,True,DOCKER_ENV_FAILURE,NO_WORKBOOK_FOUND,False,False
20260901T141505Z-P15-C-PO-ADDENDUM-001-claude-code,P15-C-PO-ADDENDUM-001,claude_opus5,False,,,True,DOCKER_ENV_FAILURE,NO_WORKBOOK_FOUND,False,False
20260901T141511Z-P15-C-RECEIPTS-001-qwen-coder,P15-C-RECEIPTS-001,qwen38max,False,,,True,DOCKER_ENV_FAILURE,NO_WORKBOOK_FOUND,False,False
20260901T141513Z-P15-C-STATEMENT-001-claude-code,P15-C-STATEMENT-001,claude_opus5,False,,,True,DOCKER_ENV_FAILURE,NO_WORKBOOK_FOUND,False,False
20260901T141518Z-P15-C-PO-ADDENDUM-001-qwen-coder,P15-C-PO-ADDENDUM-001,qwen38max,False,,,True,DOCKER_ENV_FAILURE,NO_WORKBOOK_FOUND,False,False
20260901T141520Z-P15-A-FIN-DEBUG-001-claude-code,P15-A-FIN-DEBUG-001,claude_opus5,False,,,True,DOCKER_ENV_FAILURE,NO_WORKBOOK_FOUND,False,False
20260901T141525Z-P15-C-STATEMENT-001-qwen-coder,P15-C-STATEMENT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T141531Z-P15-A-FIN-DEBUG-001-qwen-coder,P15-A-FIN-DEBUG-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T142205Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T142212Z-P15-B-HEALTH-REPORT-001-codex,P15-B-HEALTH-REPORT-001,codex_gpt56sol,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T142251Z-P15-C-QUOTE-001-claude-code,P15-C-QUOTE-001,claude_opus5,True,SCORED,0.0,False,,NO_WORKBOOK_FOUND,True,True
20260901T142358Z-P15-A-FIN-DCF-001-qwen-coder,P15-A-FIN-DCF-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T142613Z-P15-A-POLICY-EIA-001-qwen-coder,P15-A-POLICY-EIA-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T142819Z-P15-B-FIN-RECON-001-qwen-coder,P15-B-FIN-RECON-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T142949Z-P15-A-STAT-EXPERIMENT-001-qwen-coder,P15-A-STAT-EXPERIMENT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T143520Z-P15-C-INVOICE-001-qwen-coder,P15-C-INVOICE-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T143722Z-P15-A-FIN-DEBUG-001-qwen-coder,P15-A-FIN-DEBUG-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T144128Z-P15-B-HEALTH-REPORT-001-qwen-coder,P15-B-HEALTH-REPORT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T144231Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,False,TASK_INVALID,0.0,True,,NO_WORKBOOK_FOUND,True,False
20260901T144323Z-P15-C-STATEMENT-001-qwen-coder,P15-C-STATEMENT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T144334Z-P15-A-FIN-DCF-001-codex,P15-A-FIN-DCF-001,codex_gpt56sol,False,SCORED,0.0,True,,NO_WORKBOOK_FOUND,True,False
20260901T144709Z-P15-C-PO-ADDENDUM-001-qwen-coder,P15-C-PO-ADDENDUM-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T144903Z-P15-A-POLICY-EIA-001-qwen-coder,P15-A-POLICY-EIA-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T145249Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T145418Z-P15-A-FIN-DCF-001-qwen-coder,P15-A-FIN-DCF-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T145846Z-P15-A-STAT-EXPERIMENT-001-qwen-coder,P15-A-STAT-EXPERIMENT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T150054Z-P15-C-STATEMENT-001-qwen-coder,P15-C-STATEMENT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T150430Z-P15-A-FIN-DEBUG-001-qwen-coder,P15-A-FIN-DEBUG-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T150444Z-P15-B-HEALTH-REPORT-001-qwen-coder,P15-B-HEALTH-REPORT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T150716Z-P15-C-STATEMENT-001-codex,P15-C-STATEMENT-001,codex_gpt56sol,False,SCORED,0.0,True,,NO_WORKBOOK_FOUND,True,False
20260901T150958Z-P15-B-FIN-RECON-001-qwen-coder,P15-B-FIN-RECON-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T151026Z-P15-A-ENG-SIZING-001-qwen-coder,P15-A-ENG-SIZING-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T151402Z-P15-B-OPS-CLEAN-JOIN-001-codex,P15-B-OPS-CLEAN-JOIN-001,codex_gpt56sol,False,SCORED,0.0,True,,NO_WORKBOOK_FOUND,True,False
20260901T151607Z-P15-A-FIN-DCF-001-qwen-coder,P15-A-FIN-DCF-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T152021Z-P15-A-POLICY-EIA-001-qwen-coder,P15-A-POLICY-EIA-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T152222Z-P15-C-INVOICE-001-qwen-coder,P15-C-INVOICE-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T152517Z-P15-C-STATEMENT-001-qwen-coder,P15-C-STATEMENT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T152554Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T152836Z-P15-A-STAT-EXPERIMENT-001-qwen-coder,P15-A-STAT-EXPERIMENT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T153105Z-P15-B-HEALTH-REPORT-001-qwen-coder,P15-B-HEALTH-REPORT-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T154038Z-P15-A-FIN-DCF-001-codex,P15-A-FIN-DCF-001,codex_gpt56sol,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T154038Z-P15-A-FIN-DEBUG-001-qwen-coder,P15-A-FIN-DEBUG-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T154038Z-P15-C-QUOTE-001-claude-code,P15-C-QUOTE-001,claude_opus5,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T154044Z-P15-B-FIN-RECON-001-qwen-coder,P15-B-FIN-RECON-001,qwen38max,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T154048Z-P15-A-ENG-SIZING-001-codex,P15-A-ENG-SIZING-001,codex_gpt56sol,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T154048Z-P15-B-PUBLIC-PIVOT-001-claude-code,P15-B-PUBLIC-PIVOT-001,claude_opus5,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T154057Z-P15-A-STAT-EXPERIMENT-001-claude-code,P15-A-STAT-EXPERIMENT-001,claude_opus5,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T154057Z-P15-C-RECEIPTS-001-codex,P15-C-RECEIPTS-001,codex_gpt56sol,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T154606Z-P15-A-POLICY-EIA-001-codex,P15-A-POLICY-EIA-001,codex_gpt56sol,False,,,True,GUARD_STALL_KILL,NO_WORKBOOK_FOUND,False,False
20260901T154611Z-P15-C-INVOICE-001-codex,P15-C-INVOICE-001,codex_gpt56sol,False,,,True,GUARD_PROCESS_KILLED,NO_WORKBOOK_FOUND,False,False
20260901T154919Z-P15-A-FIN-DCF-001-qwen-coder,P15-A-FIN-DCF-001,qwen38max,False,,,True,GUARD_PROCESS_KILLED,NO_WORKBOOK_FOUND,False,False
20260901T155120Z-P15-B-FIN-RECON-001-codex,P15-B-FIN-RECON-001,codex_gpt56sol,False,,,True,GUARD_PROCESS_KILLED,NO_WORKBOOK_FOUND,False,False
20260901T155131Z-P15-A-POLICY-EIA-001-qwen-coder,P15-A-POLICY-EIA-001,qwen38max,False,,,True,GUARD_PROCESS_KILLED,NO_WORKBOOK_FOUND,False,False
20260901T155137Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,,,True,GUARD_PROCESS_KILLED,NO_WORKBOOK_FOUND,False,False
20260901T161231Z-P15-A-ENG-SIZING-001-qwen-coder,P15-A-ENG-SIZING-001,qwen38max,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260901T161850Z-P15-C-INVOICE-001-qwen-coder,P15-C-INVOICE-001,qwen38max,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260901T224201Z-P15-A-STAT-EXPERIMENT-001-codex,P15-A-STAT-EXPERIMENT-001,codex_gpt56sol,True,SCORED,0.0,True,,NO_WORKBOOK_FOUND,True,True
20260901T225219Z-P15-A-STAT-EXPERIMENT-001-codex,P15-A-STAT-EXPERIMENT-001,codex_gpt56sol,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260901T234847Z-P15-A-STAT-EXPERIMENT-001-codex,P15-A-STAT-EXPERIMENT-001,codex_gpt56sol,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T002029Z-P15-C-PO-ADDENDUM-001-qwen-coder,P15-C-PO-ADDENDUM-001,qwen38max,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T111815Z-P15-A-STAT-EXPERIMENT-001-codex,P15-A-STAT-EXPERIMENT-001,codex_gpt56sol,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T125807Z-P15-C-PO-ADDENDUM-001-qwen-coder,P15-C-PO-ADDENDUM-001,qwen38max,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T132249Z-P15-B-HEALTH-REPORT-001-codex,P15-B-HEALTH-REPORT-001,codex_gpt56sol,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T133306Z-P15-C-STATEMENT-001-qwen-coder,P15-C-STATEMENT-001,qwen38max,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T135341Z-P15-A-STAT-EXPERIMENT-001-qwen-coder,P15-A-STAT-EXPERIMENT-001,qwen38max,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T142642Z-P15-B-OPS-CLEAN-JOIN-001-codex,P15-B-OPS-CLEAN-JOIN-001,codex_gpt56sol,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T175754Z-P15-C-QUOTE-001-claude-code,P15-C-QUOTE-001,claude_opus5,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T180954Z-P15-B-HEALTH-REPORT-001-codex,P15-B-HEALTH-REPORT-001,codex_gpt56sol,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T181259Z-P15-B-SALES-DISCOVERY-001-claude-code,P15-B-SALES-DISCOVERY-001,claude_opus5,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T193526Z-P15-A-ENG-SIZING-001-codex,P15-A-ENG-SIZING-001,codex_gpt56sol,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T194530Z-P15-A-POLICY-EIA-001-codex,P15-A-POLICY-EIA-001,codex_gpt56sol,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T201651Z-P15-A-FIN-DCF-001-codex,P15-A-FIN-DCF-001,codex_gpt56sol,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T202655Z-P15-C-RECEIPTS-001-codex,P15-C-RECEIPTS-001,codex_gpt56sol,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T203700Z-P15-B-OPS-CLEAN-JOIN-001-codex,P15-B-OPS-CLEAN-JOIN-001,codex_gpt56sol,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T204603Z-P15-B-HEALTH-REPORT-001-codex,P15-B-HEALTH-REPORT-001,codex_gpt56sol,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T204708Z-P15-A-STAT-EXPERIMENT-001-qwen-coder,P15-A-STAT-EXPERIMENT-001,qwen38max,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260902T225824Z-P15-A-STAT-EXPERIMENT-001-codex,P15-A-STAT-EXPERIMENT-001,codex_gpt56sol,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T013041Z-P15-C-STATEMENT-001-claude-code,P15-C-STATEMENT-001,claude_opus5,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T060601Z-P15-C-RECEIPTS-001-qwen-coder,P15-C-RECEIPTS-001,qwen38max,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T061203Z-P15-C-PO-ADDENDUM-001-qwen-coder,P15-C-PO-ADDENDUM-001,qwen38max,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T062907Z-P15-C-QUOTE-001-qwen-coder,P15-C-QUOTE-001,qwen38max,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T070914Z-P15-A-ENG-SIZING-001-qwen-coder,P15-A-ENG-SIZING-001,qwen38max,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T095227Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,False,TASK_INVALID,,True,GUARD_INTERRUPTED_WITH_JUDGE_BOUNDARY,NO_WORKBOOK_FOUND,False,False
20260903T095230Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T100651Z-P15-B-PUBLIC-PIVOT-001-claude-code,P15-B-PUBLIC-PIVOT-001,claude_opus5,False,TASK_INVALID,,True,GUARD_INTERRUPTED_WITH_JUDGE_BOUNDARY,NO_WORKBOOK_FOUND,False,False
20260903T100653Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T101737Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T101740Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T102547Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T105108Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T115247Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T120023Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T121229Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T121925Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T124430Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T131548Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T131654Z-P15-C-RECEIPTS-001-claude-code,P15-C-RECEIPTS-001,claude_opus5,False,,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T143024Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T145136Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,,,True,GUARD_PROCESS_KILLED,NO_WORKBOOK_FOUND,False,False
20260903T145233Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,claude_opus5,False,,,True,GUARD_PROCESS_KILLED,NO_WORKBOOK_FOUND,False,False
20260903T154931Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T160118Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T160530Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T162132Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T163210Z-P15-C-PO-ADDENDUM-001-claude-code,P15-C-PO-ADDENDUM-001,claude_opus5,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T190451Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T190455Z-P15-C-PO-ADDENDUM-001-qwen-coder,P15-C-PO-ADDENDUM-001,qwen38max,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T193406Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T200342Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T201249Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,qwen38max,False,TASK_INVALID,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T212856Z-P15-B-SALES-DISCOVERY-001-codex,P15-B-SALES-DISCOVERY-001,codex_gpt56sol,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T223140Z-P15-B-SALES-DISCOVERY-001-qwen-coder,P15-B-SALES-DISCOVERY-001,qwen38max,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T223734Z-P15-B-SALES-DISCOVERY-001-qwen-coder,P15-B-SALES-DISCOVERY-001,qwen38max,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
20260903T232051Z-P15-B-SALES-DISCOVERY-001-codex,P15-B-SALES-DISCOVERY-001,codex_gpt56sol,False,SCORED,,True,INFRA_ERROR,NO_WORKBOOK_FOUND,False,False
