wave_id,task_id,system,score
20260901T142154Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,Claude Opus 5,0.583333
20260901T150236Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,Claude Opus 5,0.458333
20260903T124428Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,Claude Opus 5,0.791667
20260903T160121Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,Claude Opus 5,0.458333
20260903T204414Z-P15-A-ENG-SIZING-001-claude-code,P15-A-ENG-SIZING-001,Claude Opus 5,0.583333
20260901T135458Z-P15-A-ENG-SIZING-001-codex,P15-A-ENG-SIZING-001,Codex GPT-5.6 Sol,1.000000
20260901T145149Z-P15-A-ENG-SIZING-001-codex,P15-A-ENG-SIZING-001,Codex GPT-5.6 Sol,1.000000
20260902T153751Z-P15-A-ENG-SIZING-001-codex,P15-A-ENG-SIZING-001,Codex GPT-5.6 Sol,1.000000
20260902T214157Z-P15-A-ENG-SIZING-001-codex,P15-A-ENG-SIZING-001,Codex GPT-5.6 Sol,1.000000
20260903T001648Z-P15-A-ENG-SIZING-001-codex,P15-A-ENG-SIZING-001,Codex GPT-5.6 Sol,0.833333
20260903T025710Z-P15-A-ENG-SIZING-001-codex,P15-A-ENG-SIZING-001,Codex GPT-5.6 Sol,0.958333
20260903T055801Z-P15-A-ENG-SIZING-001-codex,P15-A-ENG-SIZING-001,Codex GPT-5.6 Sol,1.000000
20260902T165133Z-P15-A-ENG-SIZING-001-qwen-coder,P15-A-ENG-SIZING-001,Qwen3.8-max,1.000000
20260902T184912Z-P15-A-ENG-SIZING-001-qwen-coder,P15-A-ENG-SIZING-001,Qwen3.8-max,1.000000
20260902T220355Z-P15-A-ENG-SIZING-001-qwen-coder,P15-A-ENG-SIZING-001,Qwen3.8-max,1.000000
20260903T002940Z-P15-A-ENG-SIZING-001-qwen-coder,P15-A-ENG-SIZING-001,Qwen3.8-max,1.000000
20260903T030817Z-P15-A-ENG-SIZING-001-qwen-coder,P15-A-ENG-SIZING-001,Qwen3.8-max,1.000000
20260903T193711Z-P15-A-ENG-SIZING-001-qwen-coder,P15-A-ENG-SIZING-001,Qwen3.8-max,1.000000
20260904T005637Z-P15-A-ENG-SIZING-001-qwen-coder,P15-A-ENG-SIZING-001,Qwen3.8-max,1.000000
20260901T135525Z-P15-A-FIN-DCF-001-claude-code,P15-A-FIN-DCF-001,Claude Opus 5,0.777778
20260901T144753Z-P15-A-FIN-DCF-001-claude-code,P15-A-FIN-DCF-001,Claude Opus 5,0.037037
20260901T150812Z-P15-A-FIN-DCF-001-claude-code,P15-A-FIN-DCF-001,Claude Opus 5,0.037037
20260901T152719Z-P15-A-FIN-DCF-001-claude-code,P15-A-FIN-DCF-001,Claude Opus 5,0.037037
20260902T202601Z-P15-A-FIN-DCF-001-claude-code,P15-A-FIN-DCF-001,Claude Opus 5,0.037037
20260903T125332Z-P15-A-FIN-DCF-001-claude-code,P15-A-FIN-DCF-001,Claude Opus 5,0.222222
20260903T191959Z-P15-A-FIN-DCF-001-claude-code,P15-A-FIN-DCF-001,Claude Opus 5,0.222222
20260902T133304Z-P15-A-FIN-DCF-001-codex,P15-A-FIN-DCF-001,Codex GPT-5.6 Sol,1.000000
20260902T173043Z-P15-A-FIN-DCF-001-codex,P15-A-FIN-DCF-001,Codex GPT-5.6 Sol,0.888889
20260902T220905Z-P15-A-FIN-DCF-001-codex,P15-A-FIN-DCF-001,Codex GPT-5.6 Sol,0.888889
20260903T004924Z-P15-A-FIN-DCF-001-codex,P15-A-FIN-DCF-001,Codex GPT-5.6 Sol,1.000000
20260903T031716Z-P15-A-FIN-DCF-001-codex,P15-A-FIN-DCF-001,Codex GPT-5.6 Sol,1.000000
20260903T062007Z-P15-A-FIN-DCF-001-codex,P15-A-FIN-DCF-001,Codex GPT-5.6 Sol,1.000000
20260903T210636Z-P15-A-FIN-DCF-001-codex,P15-A-FIN-DCF-001,Codex GPT-5.6 Sol,1.000000
20260904T013036Z-P15-A-FIN-DCF-001-codex,P15-A-FIN-DCF-001,Codex GPT-5.6 Sol,0.888889
20260902T155057Z-P15-A-FIN-DCF-001-qwen-coder,P15-A-FIN-DCF-001,Qwen3.8-max,1.000000
20260902T174953Z-P15-A-FIN-DCF-001-qwen-coder,P15-A-FIN-DCF-001,Qwen3.8-max,1.000000
20260902T200038Z-P15-A-FIN-DCF-001-qwen-coder,P15-A-FIN-DCF-001,Qwen3.8-max,1.000000
20260902T224409Z-P15-A-FIN-DCF-001-qwen-coder,P15-A-FIN-DCF-001,Qwen3.8-max,1.000000
20260903T012040Z-P15-A-FIN-DCF-001-qwen-coder,P15-A-FIN-DCF-001,Qwen3.8-max,1.000000
20260903T040331Z-P15-A-FIN-DCF-001-qwen-coder,P15-A-FIN-DCF-001,Qwen3.8-max,1.000000
20260904T001726Z-P15-A-FIN-DCF-001-qwen-coder,P15-A-FIN-DCF-001,Qwen3.8-max,1.000000
20260901T143046Z-P15-A-FIN-DEBUG-001-claude-code,P15-A-FIN-DEBUG-001,Claude Opus 5,1.000000
20260901T151834Z-P15-A-FIN-DEBUG-001-claude-code,P15-A-FIN-DEBUG-001,Claude Opus 5,1.000000
20260902T170536Z-P15-A-FIN-DEBUG-001-claude-code,P15-A-FIN-DEBUG-001,Claude Opus 5,1.000000
20260902T184309Z-P15-A-FIN-DEBUG-001-claude-code,P15-A-FIN-DEBUG-001,Claude Opus 5,1.000000
